query,country,date,clicks,impressions,ctr,position
evalia camper segunda mano,esp,2017-09-01,0.0,1.0,0.0,20.0
evalia camperizada,esp,2017-09-01,0.0,1.0,0.0,7.0
fiat camper,esp,2017-09-01,0.0,1.0,0.0,69.0
fiat ducato camper en daganzo,esp,2017-09-01,0.0,4.0,0.0,8.5
fiat scudo camper,fra,2017-09-01,0.0,3.0,0.0,5.0
fiat scudo camperizada,esp,2017-09-01,0.0,2.0,0.0,1.0
ford camperizada,esp,2017-09-01,0.0,1.0,0.0,2.0
ford connect camper,esp,2017-09-01,0.0,1.0,0.0,1.0
ford tourneo connect camperizada,esp,2017-09-01,0.0,1.0,0.0,9.0
ford tourneo connect camping,esp,2017-09-01,0.0,3.0,0.0,9.0
ford transit camperizada,esp,2017-09-01,0.0,5.0,0.0,2.4
ford transit camperizada fotos,esp,2017-09-01,0.0,4.0,0.0,1.0
ford transit connect camper,nld,2017-09-01,0.0,1.0,0.0,100.0
ford transit connect camper,ukr,2017-09-01,0.0,1.0,0.0,84.0
ford transit connect camper,usa,2017-09-01,0.0,1.0,0.0,87.0
ford transit custom camper,esp,2017-09-01,0.0,8.0,0.0,9.375
ford transit custom camperizada,esp,2017-09-01,0.0,11.0,0.0,5.636363636363637
fotos de furgonetas camperizadas,esp,2017-09-01,0.0,1.0,0.0,1.0
furgo camper,esp,2017-09-01,0.0,14.0,0.0,6.785714285714286
furgo camper accesorios,esp,2017-09-01,0.0,3.0,0.0,8.333333333333332
furgo camper alquiler,esp,2017-09-01,0.0,2.0,0.0,11.0
furgo camper interior,esp,2017-09-01,0.0,2.0,0.0,1.0
furgo camper segunda mano,esp,2017-09-01,0.0,2.0,0.0,41.0
